time,x,y,z
35200,0.04,0.02,-0.88
35300,0.05,0.0,-0.87
35400,0.03,0.02,-0.86
35500,0.04,0.01,-0.88
35600,0.04,0.0,-0.86
35700,0.03,0.0,-0.86
35800,0.03,0.0,-0.87
35900,0.04,0.0,-0.87
36000,0.03,0.01,-0.86
36100,0.04,0.0,-0.87
36200,0.04,0.0,-0.86
36300,0.04,0.0,-0.87
36400,0.03,0.0,-0.85
36500,0.03,0.0,-0.89
36600,0.03,0.0,-0.88
36700,0.04,0.0,-0.88
36800,0.03,0.01,-0.9
36900,0.04,0.01,-0.87
37000,0.04,0.0,-0.86
37100,0.03,0.01,-0.89
37200,0.04,0.02,-0.88
37300,0.03,0.01,-0.87
37400,0.04,0.01,-0.87
37500,0.02,0.0,-0.85
37600,0.03,0.01,-0.86
37700,0.03,0.0,-0.87
37800,0.04,0.01,-0.87
37900,0.03,0.01,-0.89
38000,0.05,-0.0,-0.84
38100,0.04,0.01,-0.87
38200,0.02,0.01,-0.87
38300,0.04,0.0,-0.86
38400,0.04,0.0,-0.88
38500,0.04,0.01,-0.87
38600,0.04,0.01,-0.86
38700,0.04,0.01,-0.86
38800,0.04,0.01,-0.86
38900,0.04,0.01,-0.86
39000,0.04,0.01,-0.89
39100,0.04,0.0,-0.86
39200,0.05,0.0,-0.88
39300,0.02,0.01,-0.89
39400,0.04,0.0,-0.86
39500,0.04,0.01,-0.86
39600,0.03,0.0,-0.88
39700,0.03,0.0,-0.86
39800,0.04,0.01,-0.88
39900,0.04,0.01,-0.86
40000,0.03,0.01,-0.86
40100,0.04,0.0,-0.89
40200,0.04,0.0,-0.85
40300,0.04,0.02,-0.93
40400,0.01,0.02,-0.87
40500,0.03,0.02,-0.89
40600,0.04,0.0,-0.86
40700,0.03,0.0,-0.86
40800,0.04,0.0,-0.88
40900,0.02,0.02,-0.85
41000,0.03,0.0,-0.87
41100,0.04,0.0,-0.87
41200,0.04,0.0,-0.87
41300,0.04,0.0,-0.86
41400,0.02,0.01,-0.89
41500,0.04,0.02,-0.87
41600,0.03,0.02,-0.89
41700,0.02,0.01,-0.87
41800,0.04,0.01,-0.86
41900,0.04,0.0,-0.88
42000,0.04,0.01,-0.86
42100,0.03,0.0,-0.83
42200,0.05,0.0,-0.84
42300,0.04,0.0,-0.87
42400,0.03,0.01,-0.86
42500,0.04,0.01,-0.86
42600,0.0,0.02,-0.74
42700,0.04,0.02,-0.87
42800,0.04,0.01,-0.84
42900,0.03,0.01,-0.88
43000,0.02,0.01,-0.84
43100,0.03,0.01,-0.88
43200,0.04,0.0,-0.87
43300,0.05,0.02,-0.93
43400,0.04,0.0,-0.88
43500,0.04,0.0,-0.87
43600,0.04,0.01,-0.86
43700,0.02,0.0,-0.88
43800,0.04,0.01,-0.85
43900,0.03,0.01,-0.88
44000,0.04,0.01,-0.87
44100,0.05,0.02,-0.9
44200,0.04,0.01,-0.88
44300,0.05,0.01,-0.89
44400,0.02,0.02,-0.86
44500,0.04,0.02,-0.86
44600,0.05,0.0,-0.86
44700,0.04,0.0,-0.86
44800,0.02,0.02,-0.88
44900,0.04,0.01,-0.87
45000,0.05,0.0,-0.88
45100,0.03,0.0,-0.86
45200,0.04,0.01,-0.85
45300,0.03,0.0,-0.86
45400,0.04,0.0,-0.86
45500,0.04,0.01,-0.87
45600,0.04,0.01,-0.86
45700,0.04,0.0,-0.86
45800,0.04,0.0,-0.87
45900,0.04,0.01,-0.87
46000,0.04,0.01,-0.88
46100,0.03,0.01,-0.87
46200,0.03,0.02,-0.86
46300,0.06,0.0,-0.86
46400,0.03,0.0,-0.88
46500,0.05,-0.0,-0.86
46600,0.08,-0.02,-0.93
46700,0.04,0.05,-0.85
46800,0.03,0.01,-0.86
46900,0.06,0.0,-0.86
47000,0.04,0.0,-0.87
47100,0.03,0.01,-0.88
47200,0.03,0.0,-0.87
47300,0.03,0.01,-0.88
47400,0.03,0.01,-0.87
47500,0.04,0.0,-0.87
47600,0.04,0.02,-0.91
47700,0.06,0.01,-0.91
47800,0.04,0.0,-0.82
47900,0.02,0.01,-0.88
48000,0.05,-0.0,-0.88
48100,0.03,0.0,-0.86
48200,0.04,0.0,-0.88
48300,0.04,0.0,-0.88
48400,0.01,0.04,-0.86
48500,-0.04,0.09,-0.87
48600,0.01,0.04,-0.9
48700,0.08,-0.02,-0.86
48800,0.03,-0.02,-0.86
48900,0.02,0.01,-0.88
49000,0.04,0.01,-0.87
49100,0.03,0.01,-0.87
49200,0.03,0.01,-0.87
49300,0.03,0.0,-0.87
49400,0.03,0.01,-0.88
49500,0.03,0.01,-0.88
49600,0.03,0.01,-0.89
49700,0.04,0.01,-0.87
49800,0.04,0.01,-0.89
49900,0.04,0.01,-0.87
50000,0.05,0.0,-0.87
50100,0.09,-0.02,-0.89
50200,0.05,0.0,-0.85
50300,0.02,0.04,-0.84
50400,0.03,0.03,-0.91
50500,0.04,0.01,-0.85
50600,0.04,0.0,-0.88
50700,0.03,0.01,-0.84
50800,0.03,0.01,-0.88
50900,0.03,0.01,-0.87
51000,0.06,0.0,-0.84
51100,0.04,0.01,-0.88
51200,0.03,0.0,-0.87
51300,0.04,0.0,-0.87
51400,0.04,0.02,-0.89
51500,0.04,0.01,-0.86
51600,0.04,0.01,-0.88
51700,0.04,0.0,-0.86
51800,0.04,0.01,-0.88
51900,0.03,0.02,-0.85
52000,0.05,0.01,-0.9
52100,0.04,0.0,-0.86
52200,0.03,0.01,-0.87
52300,0.03,0.0,-0.86
52400,0.03,0.01,-0.87
52500,0.04,0.0,-0.88
52600,0.04,0.0,-0.87
52700,0.03,0.0,-0.84
52800,0.04,0.0,-0.87
52900,0.04,0.01,-0.88
53000,0.04,0.0,-0.88
53100,0.03,0.0,-0.87
53200,0.04,0.0,-0.82
53300,0.05,0.0,-0.86
53400,0.03,0.01,-0.88
53500,0.04,0.01,-0.88
53600,0.04,0.0,-0.87
53700,0.04,-0.02,-0.82
53800,0.03,0.01,-0.86
53900,0.04,0.0,-0.87
54000,0.04,0.0,-0.88
54100,0.04,0.0,-0.86
54200,0.04,0.01,-0.88
54300,0.02,0.01,-0.84
54400,0.04,0.02,-0.87
54500,0.05,0.03,-0.91
54600,0.04,0.0,-0.87
54700,0.04,0.0,-0.86
54800,0.04,0.02,-0.92
54900,0.02,0.0,-0.81
55000,0.04,0.0,-0.87
55100,0.03,0.0,-0.87
55200,0.04,0.01,-0.86
55300,0.02,0.0,-0.84
55400,0.03,0.01,-0.88
55500,0.03,0.0,-0.87
55600,0.03,0.01,-0.88
55700,0.03,0.01,-0.86
55800,0.03,0.01,-0.8
55900,0.05,0.01,-0.88
56000,0.04,0.01,-0.87
56100,0.04,0.0,-0.86
56200,0.03,0.01,-0.86
56300,0.05,0.01,-0.8
56400,0.03,0.0,-0.86
56500,0.03,0.01,-0.87
56600,0.03,0.01,-0.89
56700,0.04,0.01,-0.87
56800,0.03,0.0,-0.87
56900,0.04,0.01,-0.87
57000,0.05,0.0,-0.88
57100,0.04,0.0,-0.89
57200,0.03,0.02,-0.87
57300,0.04,0.01,-0.87
57400,0.04,0.01,-0.88
57500,0.04,0.01,-0.87
57600,0.04,0.0,-0.88
57700,0.03,0.01,-0.87
57800,0.04,0.01,-0.87
57900,0.04,0.0,-0.86
58000,0.04,0.0,-0.87
58100,0.04,0.01,-0.86
58200,0.04,0.0,-0.88
58300,0.04,0.01,-0.85
58400,0.04,0.0,-0.87
58500,0.04,0.0,-0.86
58600,0.04,0.0,-0.86
58700,0.05,0.02,-0.84
58800,0.02,0.0,-0.84
58900,0.04,0.0,-0.88
59000,0.04,0.0,-0.86
59100,0.05,0.02,-0.85
59200,0.02,0.03,-0.86
59300,0.04,0.01,-0.87
59400,0.04,-0.0,-0.86
59500,0.05,-0.01,-0.88
59600,0.02,0.0,-0.86
59700,0.04,0.01,-0.88
59800,0.03,0.0,-0.87
59900,0.04,0.01,-0.87
60000,0.04,0.0,-0.86
60100,0.06,0.0,-0.85
60200,0.03,0.02,-0.86
60300,0.02,0.01,-0.88
60400,0.04,0.0,-0.86
60500,0.04,0.01,-0.86
60600,0.03,0.0,-0.87
60700,0.04,0.01,-0.87
60800,0.03,0.01,-0.86
60900,0.03,0.01,-0.87
